Lorraine,Alsace-Champagne-Ardenne-Lorraine,54,Meurthe-et-Moselle,4,54115,Aboncourt
Lorraine,Alsace-Champagne-Ardenne-Lorraine,57,Moselle,7,57920,Aboncourt
Franche-Comté,Bourgogne-Franche-Comté,70,Haute-Saône,2,70500,Aboncourt-Gesincourt
Lorraine,Alsace-Champagne-Ardenne-Lorraine,57,Moselle,2,57590,Aboncourt-sur-Seille
Rhône-Alpes,Auvergne-Rhône-Alpes,74,Haute-Savoie,4,74360,Abondance
Centre,Centre,28,Eure-et-Loir,3,28410,Abondant
Aquitaine,Aquitaine-Limousin-Poitou-Charentes,64,Pyrénées-Atlantiques,2,64360,Abos
Lorraine,Alsace-Champagne-Ardenne-Lorraine,57,Moselle,5,57560,Abreschviller
Auvergne,Auvergne-Rhône-Alpes,03,Allier,3,03200,Abrest
Rhône-Alpes,Auvergne-Rhône-Alpes,38,Isère,2,38490,Abrets
Rhône-Alpes,Auvergne-Rhône-Alpes,38,Isère,2,38490,Abrets-en-Dauphiné
Provence-Alpes-Côte d'Azur,Provence-Alpes-Côte d'Azur,05,Hautes-Alpes,1,05460,Abriès
Nord-Pas-de-Calais,Nord-Pas-de-Calais-Picardie,59,Nord,6,59215,Abscon
Poitou-Charentes,Aquitaine-Limousin-Poitou-Charentes,79,Deux-Sèvres,3,79240,Absie
Départements d'Outre-Mer,Départements d'Outre-Mer,971,Guadeloupe,2,97139,Abymes
Poitou-Charentes,Aquitaine-Limousin-Poitou-Charentes,16,Charente,3,16500,Abzac
Aquitaine,Aquitaine-Limousin-Poitou-Charentes,33,Gironde,5,33230,Abzac
Franche-Comté,Bourgogne-Franche-Comté,25,Doubs,2,25250,Accolans
Bourgogne,Bourgogne-Franche-Comté,89,Yonne,1,89460,Accolay
Rhône-Alpes,Auvergne-Rhône-Alpes,07,Ardèche,3,07160,Accons
Aquitaine,Aquitaine-Limousin-Poitou-Charentes,64,Pyrénées-Atlantiques,2,64490,Accous
Lorraine,Alsace-Champagne-Ardenne-Lorraine,57,Moselle,2,57340,Achain
Lorraine,Alsace-Champagne-Ardenne-Lorraine,57,Moselle,6,57412,Achen
Alsace,Alsace-Champagne-Ardenne-Lorraine,67,Bas-Rhin,6,67204,Achenheim
Centre,Centre,18,Cher,1,18250,Achères
Île-de-France,Île-de-France,78,Yvelines,3,78260,Achères
Île-de-France,Île-de-France,77,Seine-et-Marne,4,77760,Achères-la-Forêt
Picardie,Nord-Pas-de-Calais-Picardie,02,Aisne,2,02800,Achery
Picardie,Nord-Pas-de-Calais-Picardie,80,Somme,2,80560,Acheux-en-Amiénois
Picardie,Nord-Pas-de-Calais-Picardie,80,Somme,1,80210,Acheux-en-Vimeu
Nord-Pas-de-Calais,Nord-Pas-de-Calais-Picardie,62,Pas-de-Calais,1,62320,Acheville
Franche-Comté,Bourgogne-Franche-Comté,70,Haute-Saône,2,70180,Achey
Nord-Pas-de-Calais,Nord-Pas-de-Calais-Picardie,62,Pas-de-Calais,1,62217,Achicourt
Nord-Pas-de-Calais,Nord-Pas-de-Calais-Picardie,62,Pas-de-Calais,1,62121,Achiet-le-Grand
Nord-Pas-de-Calais,Nord-Pas-de-Calais-Picardie,62,Pas-de-Calais,1,62121,Achiet-le-Petit
Bourgogne,Bourgogne-Franche-Comté,58,Nièvre,1,58110,Achun
Picardie,Nord-Pas-de-Calais-Picardie,60,Oise,1,60690,Achy
Bretagne,Bretagne,35,Ille-et-Vilaine,3,35690,Acigné
Haute-Normandie,Basse et Haute Normandie,27,Eure,2,27800,Aclou
Haute-Normandie,Basse et Haute Normandie,27,Eure,3,27570,Acon
Départements d'Outre-Mer,Départements d'Outre-Mer,976,Mayotte,0,97630,Acoua
Nord-Pas-de-Calais,Nord-Pas-de-Calais-Picardie,62,Pas-de-Calais,1,62144,Acq
Basse-Normandie,Basse et Haute Normandie,14,Calvados,2,14220,Acqueville
Basse-Normandie,Basse et Haute Normandie,50,Manche,2,50440,Acqueville
Haute-Normandie,Basse et Haute Normandie,27,Eure,1,27400,Acquigny
Nord-Pas-de-Calais,Nord-Pas-de-Calais-Picardie,62,Pas-de-Calais,5,62380,Acquin-Westbécourt
Picardie,Nord-Pas-de-Calais-Picardie,02,Aisne,4,02200,Acy
Picardie,Nord-Pas-de-Calais-Picardie,60,Oise,4,60620,Acy-en-Multien
Champagne-Ardenne,Alsace-Champagne-Ardenne-Lorraine,08,Ardennes,2,08300,Acy-Romance
Lorraine,Alsace-Champagne-Ardenne-Lorraine,57,Moselle,1,57580,Adaincourt
Île-de-France,Île-de-France,78,Yvelines,1,78113,Adainville
Franche-Comté,Bourgogne-Franche-Comté,25,Doubs,1,25360,Adam-lès-Passavant
Franche-Comté,Bourgogne-Franche-Comté,25,Doubs,3,25530,Adam-lès-Vercel
Alsace,Alsace-Champagne-Ardenne-Lorraine,67,Bas-Rhin,4,67320,Adamswiller
Midi-Pyrénées,Languedoc-Roussillon-Midi-Pyrénées,65,Hautes-Pyrénées,1,65260,Adast
Midi-Pyrénées,Languedoc-Roussillon-Midi-Pyrénées,65,Hautes-Pyrénées,1,65100,Adé
Lorraine,Alsace-Champagne-Ardenne-Lorraine,57,Moselle,1,57380,Adelange
Franche-Comté,Bourgogne-Franche-Comté,70,Haute-Saône,1,70200,Adelans-et-le-Val-de-Bithaine
